C/C,N/C,O/C,S/C,C/N,N/N,O/N,S/N,C/O,N/O,O/O,S/O,C/S,N/S,O/S,S/S,C/P,N/P,O/P,S/P,C/F,N/F,O/F,S/F,C/Cl,N/Cl,O/Cl,S/Cl,C/Br,N/Br,O/Br,S/Br,C/I,N/I,O/I,S/I,gauss1(inter),gauss2(inter),repulsion(inter),hydrophobic(inter),Hydrogen(inter),receptor-ligand
 1860.0000,  476.0000,  441.0000,   10.0000,  479.0000,  121.0000,  116.0000,    1.0000,  104.0000,   27.0000,   23.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   65.5579,  907.6813,    1.1151,   37.5652,    1.1730,  2yrq.pdbqt; Z1590223339.pdbqt; 2yrq_pocket.pdbqt
 2267.0000,  583.0000,  514.0000,   14.0000,  277.0000,   70.0000,   66.0000,    1.0000,  355.0000,   93.0000,   80.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   57.1317, 1016.6410,    1.0627,   44.0440,    0.4346,  2yrq.pdbqt; Z312644560.pdbqt; 2yrq_pocket.pdbqt
 2051.0000,  545.0000,  507.0000,   22.0000,  182.0000,   50.0000,   45.0000,    2.0000,  165.0000,   45.0000,   47.0000,    2.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   72.2432,  882.9377,    1.4384,   46.4481,    0.6380,  2yrq.pdbqt; Z1217487140.pdbqt; 2yrq_pocket.pdbqt
 1761.0000,  454.0000,  395.0000,   14.0000,  527.0000,  130.0000,  102.0000,    5.0000,  232.0000,   59.0000,   55.0000,    2.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   73.9203,  839.5462,    1.4204,   36.1475,    2.0493,  2yrq.pdbqt; Z1165360501.pdbqt; 2yrq_pocket.pdbqt
 2217.0000,  544.0000,  483.0000,   14.0000,  514.0000,  129.0000,  111.0000,    4.0000,  173.0000,   43.0000,   41.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   75.0000,   17.0000,   14.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   67.7369, 1010.5332,    1.0467,   32.5952,    0.0000,  2yrq.pdbqt; Z89612410.pdbqt; 2yrq_pocket.pdbqt
 2337.0000,  591.0000,  509.0000,   29.0000,  278.0000,   75.0000,   64.0000,    3.0000,  122.0000,   31.0000,   27.0000,    2.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   86.8221,  961.8797,    1.4261,   62.3215,    0.3550,  2yrq.pdbqt; Z915807884.pdbqt; 2yrq_pocket.pdbqt
 2159.0000,  552.0000,  492.0000,    8.0000,  177.0000,   47.0000,   38.0000,    2.0000,  342.0000,   84.0000,   77.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   76.3941,  974.3788,    0.7004,   28.2364,    0.3672,  2yrq.pdbqt; Z106912730.pdbqt; 2yrq_pocket.pdbqt
 1928.0000,  492.0000,  459.0000,   32.0000,  344.0000,   92.0000,   81.0000,    6.0000,  373.0000,   89.0000,   80.0000,    4.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   72.1135,  900.8242,    0.6359,   33.1535,    0.0000,  2yrq.pdbqt; Z1778577383.pdbqt; 2yrq_pocket.pdbqt
 1906.0000,  484.0000,  416.0000,   24.0000,  447.0000,  107.0000,   94.0000,    6.0000,  224.0000,   56.0000,   54.0000,    3.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   67.9306,  863.8108,    1.0629,   42.5311,    0.5166,  2yrq.pdbqt; Z1268728468.pdbqt; 2yrq_pocket.pdbqt
 2019.0000,  525.0000,  435.0000,   15.0000,  195.0000,   50.0000,   42.0000,    1.0000,  328.0000,   88.0000,   73.0000,    2.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   70.8098,  892.6555,    1.3135,   53.8569,    0.5458,  2yrq.pdbqt; Z109824394.pdbqt; 2yrq_pocket.pdbqt
 1938.0000,  507.0000,  449.0000,   25.0000,  429.0000,  114.0000,  106.0000,    6.0000,  195.0000,   53.0000,   49.0000,    3.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   75.0049,  813.0309,    0.7569,   30.7905,    0.6916,  2yrq.pdbqt; Z1079895044.pdbqt; 2yrq_pocket.pdbqt
