predicted binding affinity,receptor-ligand
      5.4090,  2yrq.pdbqt; Z1752000229.pdbqt; 2yrq_pocket.pdbqt
      5.5203,  2yrq.pdbqt; Z2019179059.pdbqt; 2yrq_pocket.pdbqt
      5.3601,  2yrq.pdbqt; Z976203836.pdbqt; 2yrq_pocket.pdbqt
      5.3850,  2yrq.pdbqt; Z223458504.pdbqt; 2yrq_pocket.pdbqt
      5.9129,  2yrq.pdbqt; Z363614634.pdbqt; 2yrq_pocket.pdbqt
      5.2567,  2yrq.pdbqt; Z1445410028.pdbqt; 2yrq_pocket.pdbqt
      6.5648,  2yrq.pdbqt; Z84141267.pdbqt; 2yrq_pocket.pdbqt
      5.7873,  2yrq.pdbqt; Z109823918.pdbqt; 2yrq_pocket.pdbqt
      5.9134,  2yrq.pdbqt; Z106408008.pdbqt; 2yrq_pocket.pdbqt
      5.4597,  2yrq.pdbqt; Z286705196.pdbqt; 2yrq_pocket.pdbqt
      6.2091,  2yrq.pdbqt; Z288365102.pdbqt; 2yrq_pocket.pdbqt
      5.9508,  2yrq.pdbqt; Z99315127.pdbqt; 2yrq_pocket.pdbqt
      4.8389,  2yrq.pdbqt; Z58304036.pdbqt; 2yrq_pocket.pdbqt
      5.3643,  2yrq.pdbqt; Z1849817109.pdbqt; 2yrq_pocket.pdbqt
      5.3965,  2yrq.pdbqt; Z30425109.pdbqt; 2yrq_pocket.pdbqt
      4.9161,  2yrq.pdbqt; Z223458498.pdbqt; 2yrq_pocket.pdbqt
      6.0816,  2yrq.pdbqt; Z106460362.pdbqt; 2yrq_pocket.pdbqt
      5.8399,  2yrq.pdbqt; Z106398026.pdbqt; 2yrq_pocket.pdbqt
      6.7688,  2yrq.pdbqt; Z83254147.pdbqt; 2yrq_pocket.pdbqt
      5.3772,  2yrq.pdbqt; Z1390808192.pdbqt; 2yrq_pocket.pdbqt
      5.1422,  2yrq.pdbqt; Z109825940.pdbqt; 2yrq_pocket.pdbqt
      5.9010,  2yrq.pdbqt; Z1166112250.pdbqt; 2yrq_pocket.pdbqt
      7.2907,  2yrq.pdbqt; Z96583791.pdbqt; 2yrq_pocket.pdbqt
      5.4823,  2yrq.pdbqt; Z142764770.pdbqt; 2yrq_pocket.pdbqt
      5.3020,  2yrq.pdbqt; Z25711624.pdbqt; 2yrq_pocket.pdbqt
      5.7261,  2yrq.pdbqt; Z909177912.pdbqt; 2yrq_pocket.pdbqt
      5.9445,  2yrq.pdbqt; Z2375345019.pdbqt; 2yrq_pocket.pdbqt
      5.7414,  2yrq.pdbqt; Z83561108.pdbqt; 2yrq_pocket.pdbqt
      5.9176,  2yrq.pdbqt; Z335605796.pdbqt; 2yrq_pocket.pdbqt
      5.6075,  2yrq.pdbqt; Z270210810.pdbqt; 2yrq_pocket.pdbqt
      4.5957,  2yrq.pdbqt; Z14185966.pdbqt; 2yrq_pocket.pdbqt
      6.0002,  2yrq.pdbqt; Z1700066847.pdbqt; 2yrq_pocket.pdbqt
      5.7140,  2yrq.pdbqt; Z89295304.pdbqt; 2yrq_pocket.pdbqt
      5.4540,  2yrq.pdbqt; Z26264560.pdbqt; 2yrq_pocket.pdbqt
      5.3636,  2yrq.pdbqt; Z25742113.pdbqt; 2yrq_pocket.pdbqt
      5.6608,  2yrq.pdbqt; Z335597644.pdbqt; 2yrq_pocket.pdbqt
      5.1358,  2yrq.pdbqt; Z1601807165.pdbqt; 2yrq_pocket.pdbqt
      5.2996,  2yrq.pdbqt; Z13597482.pdbqt; 2yrq_pocket.pdbqt
      5.2255,  2yrq.pdbqt; Z13600562.pdbqt; 2yrq_pocket.pdbqt
      6.0558,  2yrq.pdbqt; Z152767716.pdbqt; 2yrq_pocket.pdbqt
      4.8674,  2yrq.pdbqt; Z14179809.pdbqt; 2yrq_pocket.pdbqt
      5.2739,  2yrq.pdbqt; Z13597849.pdbqt; 2yrq_pocket.pdbqt
      5.6841,  2yrq.pdbqt; Z359657194.pdbqt; 2yrq_pocket.pdbqt
      5.8131,  2yrq.pdbqt; Z223906598.pdbqt; 2yrq_pocket.pdbqt
      5.3969,  2yrq.pdbqt; Z214589002.pdbqt; 2yrq_pocket.pdbqt
      6.0016,  2yrq.pdbqt; Z1264466558.pdbqt; 2yrq_pocket.pdbqt
      5.7471,  2yrq.pdbqt; Z1849831857.pdbqt; 2yrq_pocket.pdbqt
      5.0605,  2yrq.pdbqt; Z985660492.pdbqt; 2yrq_pocket.pdbqt
      4.9380,  2yrq.pdbqt; Z3867448822.pdbqt; 2yrq_pocket.pdbqt
      5.6638,  2yrq.pdbqt; Z13597548.pdbqt; 2yrq_pocket.pdbqt
      5.6281,  2yrq.pdbqt; Z107150788.pdbqt; 2yrq_pocket.pdbqt
      4.6527,  2yrq.pdbqt; Z14182997.pdbqt; 2yrq_pocket.pdbqt
      5.4176,  2yrq.pdbqt; Z16336815.pdbqt; 2yrq_pocket.pdbqt
      5.5702,  2yrq.pdbqt; Z103860868.pdbqt; 2yrq_pocket.pdbqt
      6.0180,  2yrq.pdbqt; Z1661981406.pdbqt; 2yrq_pocket.pdbqt
      5.0671,  2yrq.pdbqt; Z466741610.pdbqt; 2yrq_pocket.pdbqt
      5.7457,  2yrq.pdbqt; Z73836166.pdbqt; 2yrq_pocket.pdbqt
      6.1834,  2yrq.pdbqt; Z124170214.pdbqt; 2yrq_pocket.pdbqt
      5.3700,  2yrq.pdbqt; Z14181285.pdbqt; 2yrq_pocket.pdbqt
      5.2508,  2yrq.pdbqt; Z87702031.pdbqt; 2yrq_pocket.pdbqt
      5.6451,  2yrq.pdbqt; Z83276972.pdbqt; 2yrq_pocket.pdbqt
      6.6327,  2yrq.pdbqt; Z1166113023.pdbqt; 2yrq_pocket.pdbqt
      6.4406,  2yrq.pdbqt; Z54583701.pdbqt; 2yrq_pocket.pdbqt
      5.1651,  2yrq.pdbqt; Z1166112072.pdbqt; 2yrq_pocket.pdbqt
      4.5849,  2yrq.pdbqt; Z13598388.pdbqt; 2yrq_pocket.pdbqt
      5.0429,  2yrq.pdbqt; Z1796062114.pdbqt; 2yrq_pocket.pdbqt
      5.9606,  2yrq.pdbqt; Z54659421.pdbqt; 2yrq_pocket.pdbqt
      6.1656,  2yrq.pdbqt; Z1687089773.pdbqt; 2yrq_pocket.pdbqt
      5.4682,  2yrq.pdbqt; Z1139261805.pdbqt; 2yrq_pocket.pdbqt
      4.6086,  2yrq.pdbqt; Z1166113003.pdbqt; 2yrq_pocket.pdbqt
      5.5266,  2yrq.pdbqt; Z14179777.pdbqt; 2yrq_pocket.pdbqt
      4.8030,  2yrq.pdbqt; Z1506273997.pdbqt; 2yrq_pocket.pdbqt
      5.2327,  2yrq.pdbqt; Z83919209.pdbqt; 2yrq_pocket.pdbqt
      5.9387,  2yrq.pdbqt; Z13600853.pdbqt; 2yrq_pocket.pdbqt
      4.9115,  2yrq.pdbqt; Z14183309.pdbqt; 2yrq_pocket.pdbqt
      5.5709,  2yrq.pdbqt; Z1037945780.pdbqt; 2yrq_pocket.pdbqt
      5.3743,  2yrq.pdbqt; Z13596120.pdbqt; 2yrq_pocket.pdbqt
      6.0816,  2yrq.pdbqt; Z13597402.pdbqt; 2yrq_pocket.pdbqt
      5.1651,  2yrq.pdbqt; Z1166113000.pdbqt; 2yrq_pocket.pdbqt
      5.2371,  2yrq.pdbqt; Z13601053.pdbqt; 2yrq_pocket.pdbqt
      6.6762,  2yrq.pdbqt; Z83919277.pdbqt; 2yrq_pocket.pdbqt
      5.6863,  2yrq.pdbqt; Z1166112993.pdbqt; 2yrq_pocket.pdbqt
      5.8250,  2yrq.pdbqt; Z14141138.pdbqt; 2yrq_pocket.pdbqt
      4.4950,  2yrq.pdbqt; Z822161212.pdbqt; 2yrq_pocket.pdbqt
      6.8438,  2yrq.pdbqt; Z109077304.pdbqt; 2yrq_pocket.pdbqt
      4.5387,  2yrq.pdbqt; Z214581054.pdbqt; 2yrq_pocket.pdbqt
      5.4422,  2yrq.pdbqt; Z422623670.pdbqt; 2yrq_pocket.pdbqt
      5.5897,  2yrq.pdbqt; Z14185823.pdbqt; 2yrq_pocket.pdbqt
      5.8069,  2yrq.pdbqt; Z1698128530.pdbqt; 2yrq_pocket.pdbqt
      5.6486,  2yrq.pdbqt; Z1450536806.pdbqt; 2yrq_pocket.pdbqt
      5.7259,  2yrq.pdbqt; Z1757448951.pdbqt; 2yrq_pocket.pdbqt
      5.2468,  2yrq.pdbqt; Z30825574.pdbqt; 2yrq_pocket.pdbqt
      4.1985,  2yrq.pdbqt; Z646606256.pdbqt; 2yrq_pocket.pdbqt
      4.8504,  2yrq.pdbqt; Z1002840874.pdbqt; 2yrq_pocket.pdbqt
      5.0765,  2yrq.pdbqt; Z1440181529.pdbqt; 2yrq_pocket.pdbqt
      5.8577,  2yrq.pdbqt; Z1169977201.pdbqt; 2yrq_pocket.pdbqt
      4.9194,  2yrq.pdbqt; Z901672728.pdbqt; 2yrq_pocket.pdbqt
      5.5393,  2yrq.pdbqt; Z1729210408.pdbqt; 2yrq_pocket.pdbqt
      5.5741,  2yrq.pdbqt; Z1023656048.pdbqt; 2yrq_pocket.pdbqt
      4.3449,  2yrq.pdbqt; Z1252670026.pdbqt; 2yrq_pocket.pdbqt
      5.0185,  2yrq.pdbqt; Z1784073544.pdbqt; 2yrq_pocket.pdbqt
      5.5681,  2yrq.pdbqt; Z1677754180.pdbqt; 2yrq_pocket.pdbqt
      4.8720,  2yrq.pdbqt; Z1759961743.pdbqt; 2yrq_pocket.pdbqt
      4.9004,  2yrq.pdbqt; Z1024020012.pdbqt; 2yrq_pocket.pdbqt
      5.2163,  2yrq.pdbqt; Z1796127100.pdbqt; 2yrq_pocket.pdbqt
      4.8131,  2yrq.pdbqt; Z1228502228.pdbqt; 2yrq_pocket.pdbqt
      4.7550,  2yrq.pdbqt; Z1757948611.pdbqt; 2yrq_pocket.pdbqt
      5.5245,  2yrq.pdbqt; Z1612525496.pdbqt; 2yrq_pocket.pdbqt
      4.9204,  2yrq.pdbqt; Z1638119356.pdbqt; 2yrq_pocket.pdbqt
      4.8219,  2yrq.pdbqt; Z1275601388.pdbqt; 2yrq_pocket.pdbqt
      4.7323,  2yrq.pdbqt; Z932124944.pdbqt; 2yrq_pocket.pdbqt
      4.7721,  2yrq.pdbqt; Z1441255351.pdbqt; 2yrq_pocket.pdbqt
      5.5870,  2yrq.pdbqt; Z1567391685.pdbqt; 2yrq_pocket.pdbqt
      5.3966,  2yrq.pdbqt; Z1506047613.pdbqt; 2yrq_pocket.pdbqt
      5.4294,  2yrq.pdbqt; Z4617267353.pdbqt; 2yrq_pocket.pdbqt
      4.8857,  2yrq.pdbqt; Z979070766.pdbqt; 2yrq_pocket.pdbqt
      5.0664,  2yrq.pdbqt; Z1258909222.pdbqt; 2yrq_pocket.pdbqt
      4.5732,  2yrq.pdbqt; Z1411158492.pdbqt; 2yrq_pocket.pdbqt
      5.5352,  2yrq.pdbqt; Z1736594903.pdbqt; 2yrq_pocket.pdbqt
      6.4557,  2yrq.pdbqt; Z1661980985.pdbqt; 2yrq_pocket.pdbqt
      4.8704,  2yrq.pdbqt; Z1756707640.pdbqt; 2yrq_pocket.pdbqt
      5.5733,  2yrq.pdbqt; Z17107630.pdbqt; 2yrq_pocket.pdbqt
      5.6946,  2yrq.pdbqt; Z1401658319.pdbqt; 2yrq_pocket.pdbqt
      4.4399,  2yrq.pdbqt; Z298904852.pdbqt; 2yrq_pocket.pdbqt
      4.8357,  2yrq.pdbqt; Z1756368845.pdbqt; 2yrq_pocket.pdbqt
      5.1412,  2yrq.pdbqt; Z1801595493.pdbqt; 2yrq_pocket.pdbqt
      5.3617,  2yrq.pdbqt; Z1612717695.pdbqt; 2yrq_pocket.pdbqt
      5.5255,  2yrq.pdbqt; Z1139338213.pdbqt; 2yrq_pocket.pdbqt
      4.9508,  2yrq.pdbqt; Z94857482.pdbqt; 2yrq_pocket.pdbqt
      5.0399,  2yrq.pdbqt; Z434202092.pdbqt; 2yrq_pocket.pdbqt
      5.3141,  2yrq.pdbqt; Z1376860535.pdbqt; 2yrq_pocket.pdbqt
      5.7016,  2yrq.pdbqt; Z1273920328.pdbqt; 2yrq_pocket.pdbqt
      5.2059,  2yrq.pdbqt; Z1268778337.pdbqt; 2yrq_pocket.pdbqt
      5.3720,  2yrq.pdbqt; Z1375827430.pdbqt; 2yrq_pocket.pdbqt
      5.8883,  2yrq.pdbqt; Z1455407934.pdbqt; 2yrq_pocket.pdbqt
